"","Est.","CI(95%).Lower","CI(95%).Upper"
"dataset500",12.35,10.83,13.87
"dataset501",12.51,11.05,13.96
"dataset502",1.055,-1.272,3.383
"dataset503",8.536,6.548,10.52
"dataset504",7.042,5.375,8.709
"dataset505",12.22,10.73,13.7
"dataset506",9.047,7.4,10.69
"dataset507",6.286,4.669,7.902
"dataset508",1.012,-1.374,3.397
"dataset509",6.195,4.433,7.957
"dataset510",1.021,-0.7326,2.775
"dataset511",6.153,4.369,7.936
"dataset512",5.302,2.895,7.708
"dataset513",6.237,4.408,8.065
"dataset514",9.295,7.813,10.78
"dataset515",6.328,4.781,7.875
"dataset516",1.923,-0.3973,4.242
"dataset517",6.248,4.436,8.061
"dataset518",6.458,3.925,8.991
"dataset519",5.99,3.579,8.401
"dataset520",1.05,-1.346,3.447
"dataset521",6.208,3.689,8.726
"dataset522",12.46,11.04,13.88
"dataset523",8.734,7.261,10.21
"dataset524",6.187,4.387,7.986
"dataset525",1.948,-0.3512,4.248
"dataset526",8.019,6.561,9.477
"dataset527",10.67,9.307,12.03
"dataset528",11.8,10.28,13.31
"dataset529",6.245,4.619,7.872
"dataset530",12.53,11.31,13.75
"dataset531",6.198,4.264,8.133
"dataset532",10.54,9.195,11.89
"dataset533",6.282,3.677,8.888
"dataset534",1.097,-1.334,3.529
"dataset535",6.245,4.412,8.078
"dataset536",12.38,10.88,13.88
"dataset537",5.229,3.73,6.728
"dataset538",1.316,-1.008,3.64
"dataset539",6.246,4.45,8.041
"dataset540",6.297,4.503,8.092
"dataset541",6.231,4.726,7.735
"dataset542",12.36,11.09,13.64
"dataset543",5.948,4.419,7.477
"dataset544",6.358,4.464,8.253
"dataset545",1.264,-1.057,3.584
"dataset546",1.372,-0.9215,3.666
"dataset547",6.244,3.807,8.68
"dataset548",6.101,4.34,7.862
"dataset549",18.3,17.01,19.58
"dataset550",6.156,3.729,8.583
"dataset551",12.61,11.09,14.12
"dataset552",12.09,10.85,13.32
"dataset553",1.949,-0.3771,4.275
"dataset554",6.303,4.663,7.942
"dataset555",6.285,4.396,8.175
"dataset556",9.452,7.999,10.91
"dataset557",3.436,1.134,5.737
"dataset558",6.245,4.46,8.029
"dataset559",12.36,10.86,13.87
"dataset560",1.332,-1.089,3.753
"dataset561",1.274,-1.05,3.597
"dataset562",6.14,4.653,7.627
"dataset563",10.11,8.433,11.8
"dataset564",1.471,-0.8462,3.789
"dataset565",2.229,-0.2019,4.66
"dataset566",2.091,0.3328,3.85
"dataset567",13.32,11.77,14.86
"dataset568",3.245,0.919,5.571
"dataset569",6.219,4.464,7.975
"dataset570",6.175,4.388,7.962
"dataset571",6.327,3.76,8.895
"dataset572",1.455,-0.9553,3.865
"dataset573",1.741,-0.6397,4.121
"dataset574",6.991,5.52,8.461
"dataset575",6.246,4.479,8.013
"dataset576",5.909,4.154,7.664
"dataset577",1.01,-0.739,2.759
"dataset578",5.693,3.276,8.111
"dataset579",4.973,3.208,6.739
"dataset580",1.603,-0.8048,4.01
"dataset581",12.41,10.73,14.08
"dataset582",6.074,4.275,7.874
"dataset583",9.947,7.958,11.94
"dataset584",2.97,0.547,5.393
"dataset585",2.124,-0.1907,4.439
"dataset586",1.337,-0.9919,3.666
"dataset587",6.198,3.706,8.69
"dataset588",5.266,3.5,7.032
"dataset589",1.004,-1.376,3.385
"dataset590",6.257,4.829,7.686
"dataset591",7.113,5.774,8.451
"dataset592",12.51,10.91,14.1
"dataset593",1.227,-1.082,3.537
"dataset594",1.972,-0.3353,4.279
"dataset595",12.4,11.28,13.53
"dataset596",1.822,-0.514,4.159
"dataset597",11.07,9.052,13.1
"dataset598",10.24,8.923,11.56
"dataset599",6.235,4.657,7.813
"dataset600",4.565,2.157,6.974
"dataset601",9.419,7.976,10.86
"dataset602",1.476,-0.9036,3.855
"dataset603",11.12,9.484,12.76
"dataset604",12.44,11.31,13.56
"dataset605",6.247,4.722,7.771
"dataset606",12.5,11.07,13.94
"dataset607",6.196,3.911,8.481
"dataset608",12.48,11.04,13.92
"dataset609",1.434,-0.8803,3.749
"dataset610",1.628,-0.7467,4.003
"dataset611",12.41,10.96,13.87
"dataset612",5.505,3.73,7.281
"dataset613",6.247,4.486,8.009
"dataset614",4.792,3.037,6.547
"dataset615",6.165,3.593,8.737
"dataset616",2.221,-0.1241,4.565
"dataset617",1.833,0.0695,3.597
"dataset618",12.54,11.15,13.93
"dataset619",3.479,1.712,5.246
"dataset620",1.156,-1.187,3.499
"dataset621",6.625,5.126,8.123
"dataset622",1.045,-1.308,3.399
"dataset623",12.48,10.97,13.99
"dataset624",7.896,6.209,9.584
"dataset625",6.294,4.662,7.926
"dataset626",6.166,4.322,8.009
"dataset627",6.242,4.734,7.749
"dataset628",12.5,10.97,14.04
"dataset629",1.117,-1.237,3.47
