"","Est.","CI(95%).Lower","CI(95%).Upper"
"79",6.564,3.966,9.162
"80",3.897,2.134,5.659
"81",7.927,6.427,9.428
"82",9.906,8.623,11.19
"83",15.69,14.16,17.22
"84",3.889,1.478,6.3
"85",1.852,-0.4645,4.168
"86",15.71,14.02,17.39
"87",3.918,2.44,5.395
"88",15.7,14.37,17.04
"89",12.11,10.5,13.72
"90",7.901,6.609,9.194
"91",15.71,13.95,17.48
"92",15.76,14.34,17.17
"93",17.94,16.54,19.34
"94",27.75,25.82,29.68
"95",9.862,8.315,11.41
"96",15.69,14.14,17.24
"97",9.898,8.64,11.16
"98",4.961,3.121,6.8
"99",9.902,8.614,11.19
"100",11.83,10.54,13.12
"101",1.183,-1.11,3.476
"102",7.904,6.242,9.567
"103",18.52,17.16,19.87
"104",5.069,3.536,6.603
"105",1.475,-0.8333,3.784
"106",11.85,10.48,13.21
"107",11.28,9.666,12.89
"108",12.53,11.34,13.72
"109",8.57,6.874,10.27
"110",15.7,14.25,17.16
"111",5.147,3.614,6.68
"112",9.897,8.347,11.45
"113",6.296,4.72,7.872
"114",16.84,15.37,18.3
"115",18.68,17.19,20.17
"116",14.45,13.07,15.82
"117",17.3,15.6,19
"118",9.962,8.727,11.2
"119",19.78,18.14,21.42
"120",7.905,6.424,9.387
"121",3.951,1.528,6.374
"122",5.011,3.619,6.402
"123",9.917,8.347,11.49
"124",24.99,23.3,26.69
"125",3.901,1.501,6.3
"126",4.82,2.335,7.306
"127",19.38,18.04,20.73
"128",9.9,8.644,11.16
"129",15.7,14.33,17.07
"130",10.21,8.749,11.67
"131",15.7,14.05,17.35
"132",3.226,0.8323,5.619
"133",6.293,4.43,8.155
"134",6.847,4.922,8.773
"135",2.964,0.629,5.3
"136",7.863,6.535,9.192
"137",9.877,8.625,11.13
"138",3.891,1.484,6.297
"139",1.292,-1.095,3.678
"140",9.919,8.508,11.33
"141",13.56,12.12,14.99
"142",3.919,2.15,5.687
"143",12.5,10.93,14.07
"144",1.249,-0.5152,3.012
"145",8.005,6.31,9.7
"146",3.874,2.103,5.645
"147",6.367,4.774,7.96
"148",3.893,1.463,6.322
"149",4.923,3.397,6.449
"150",1.268,-1.08,3.617
"151",11.56,10.19,12.92
"152",15.68,14.22,17.14
"153",3.945,2.183,5.707
"154",4.749,2.927,6.57
"155",12.48,11.22,13.74
"156",11.3,9.523,13.09
"157",3.89,2.132,5.648
"158",9.889,8.497,11.28
"159",6.309,4.671,7.947
"160",9.936,8.645,11.23
"161",7.967,6.236,9.698
"162",18.64,16.96,20.32
"163",12.48,11.2,13.76
"164",3.71,1.318,6.102
"165",6.312,4.687,7.937
"166",7.901,6.698,9.104
"167",5.56,3.042,8.078
"168",9.937,8.154,11.72
"169",6.298,4.39,8.206
"170",20.83,19.19,22.47
"171",1.211,-1.117,3.539
"172",10.46,8.682,12.23
"173",10.95,9.674,12.23
"174",5.967,3.628,8.306
"175",6.117,4.526,7.709
"176",1.43,-0.9648,3.825
"177",5.004,3.476,6.532
"178",5.007,3.179,6.835
"179",3.874,2.09,5.658
"180",6.367,4.776,7.958
"181",9.866,8.722,11.01
"182",3.849,1.423,6.275
"183",1.565,-0.7741,3.905
"184",3.06,0.7365,5.384
"185",13.35,11.97,14.74
"186",3.913,1.455,6.37
"187",6.243,4.829,7.657
"188",11.46,10.26,12.66
"189",6.318,4.882,7.754
"190",17.94,15.92,19.95
"191",3.936,2.164,5.708
"192",19.15,17.76,20.54
"193",9.884,8.344,11.42
"194",9.889,8.711,11.07
"195",5.673,3.806,7.541
"196",15.71,14.17,17.25
"197",10.18,8.854,11.51
"198",9.889,8.172,11.61
"199",4.979,3.15,6.807
"200",1.143,-1.175,3.461
"201",16.63,15.09,18.17
"202",12.49,11.12,13.86
"203",4.945,2.468,7.422
"204",12.01,10.51,13.51
"205",9.905,7.786,12.02
"206",7.976,6.479,9.473
"207",4.86,3.317,6.402
"208",4.236,2.413,6.059
"209",3.905,2.108,5.701
"210",3.891,1.491,6.29
"211",4.994,3.623,6.366
"212",18.55,17.16,19.93
"213",4.985,3.458,6.512
"214",9.933,8.569,11.3
"215",10.07,8.605,11.54
"216",4.961,3.162,6.761
"217",4.983,3.143,6.824
"218",13.18,11.92,14.43
"219",14.65,13.17,16.13
"220",4.999,3.451,6.547
"221",9.869,8.347,11.39
"222",12.48,10.63,14.33
"223",1.928,-0.3954,4.251
"224",4.912,3.097,6.727
"225",3.96,1.501,6.419
"226",10,7.69,12.31
"227",6.205,4.81,7.6
"228",10.18,8.811,11.55
"229",14.33,12.77,15.88
"230",9.888,8.575,11.2
"231",1.066,-0.6558,2.787
"232",15.7,13.97,17.43
"233",1.555,-0.7739,3.883
"234",10.95,9.365,12.53
"235",6.335,4.912,7.759
"236",3.868,1.461,6.275
"237",14.82,12.86,16.78
"238",8.373,6.666,10.08
"239",7.91,6.389,9.431
"240",8.226,6.837,9.615
"241",10.34,8.858,11.83
"242",1.044,-1.289,3.376
"243",15.64,13.91,17.37
"244",4.114,2.334,5.894
"245",1.279,-1.037,3.596
"246",7.866,6.226,9.506
"247",3.9,2.137,5.663
"248",1.208,-1.147,3.562
"249",3.828,2.054,5.602
"250",13.38,11.84,14.92
"251",9.91,8.336,11.48
"252",3.853,1.429,6.278
"253",3.902,1.501,6.303
"254",3.936,2.161,5.711
"255",3.901,2.137,5.666
"256",5.224,3.362,7.085
"257",3.445,1.053,5.838
"258",3.915,1.488,6.342
"259",5.002,3.184,6.82
"260",17.35,15.99,18.72
"261",9.891,8.129,11.65
"262",3.965,1.544,6.386
"263",1.136,-0.6212,2.894
"264",12.48,11.29,13.66
"265",6.353,5.048,7.659
"266",7.802,6.297,9.307
"267",2.669,0.9121,4.427
"268",12.01,10.58,13.43
"269",1.277,-1.117,3.671
"270",11.92,10.6,13.23
"271",7.945,6.681,9.209
"272",6.394,4.488,8.3
"273",5.9,4.039,7.762
"274",7.856,6.231,9.481
"275",12.73,11.34,14.11
