"","NEC Cont","NEC Cat","BAYES NEC Cont","BAYES NEC cat","PW cont","PW cat","ROC Cont","ROC cat","EC5 Cont","EC5 cat"
"89",19.8119938251196,12.4773641419514,20.9555234612753,20.8218673550828,12.11,16.1,43.9168025862123,39.5564702044662,19.3254844398035,16.2613156608006
"90",22.3521077246157,18.1311119552214,19.9922123254175,18.6829832019025,7.901,1.058,39.531516100805,40.6356302561643,17.6059901404637,25.0054983017507
"91",24.9880313618315,21.950554547507,25.6695289216547,30.2619632263721,15.71,6.139,45.303075625346,37.1044084650742,18.3096277460783,16.83830411105
"92",20.455764282711,18.4447741679976,24.5980647708005,18.2368199360513,15.76,6.316,38.0903953777755,36.5237241692551,14.550492361725,14.7535915187673
"93",18.1729904416635,16.8525649862956,14.605587782871,17.408885363516,17.94,6.676,37.2903773594908,38.8125999119816,19.2110902043865,21.7125191863868
"94",24.5952297654504,19.8275444749961,19.3828207794039,27.4281130723776,27.75,6.263,41.8306844774699,37.6497390609186,14.1079144860631,10.8020152455632
"95",14.0513602590237,21.6727197957545,15.3953173469855,7.79528410150246,9.862,12.5,47.17691720618,37.752404609841,19.4694628645385,18.0594262318793
"96",16.336431185603,18.2529044138177,27.2281321157275,20.1406152217105,15.69,12.43,36.8401160718044,43.3713515815335,16.7567816857181,27.3295883962506
"97",19.7793239345229,14.3447525048888,37.4458701891676,35.4521341962686,9.898,12.48,46.168422113113,39.5912169996836,21.3132697726407,16.3236028144148
"98",19.8100355112877,18.7038368661623,22.9076242236146,17.8234759837269,4.961,3.511,36.943718047043,40.2134239251171,15.6859518375056,15.5073929228413
"99",15.7009308163359,18.7979438606137,13.248764536217,17.3712066195957,9.902,6.256,39.6369590603611,18.8028921597564,18.9111134633909,8.01205897798074
"100",23.1567788463476,45.1275781119265,6.67388316906784,1.07675417108344e-11,11.83,1.176,34.4408055710199,41.0153141720578,20.955528795821,23.7679078684301
"101",29.1032984695218,20.3391003724492,15.8898273203866,33.7270785242615,1.183,7.202,32.365837845435,38.0833074339955,14.6849292924067,18.6937634693158
"102",25.7397961934761,45.7458947963181,18.8454423250224,18.5399621987828,7.904,1.01,41.4790100138595,37.756920982032,20.6626786281916,17.9411617270075
"103",34.4409226269392,21.4930279845913,20.3376419680436,20.1486999404082,18.52,1.29,42.7598301241049,38.6068944778776,19.1270459921427,19.7270225620389
"104",19.9890722531542,17.6660847518708,26.6607442481263,23.5015323912718,5.069,6.23,47.5533423416301,39.3716075755788,23.2014872861869,16.2752035221383
"105",25.6700591978803,15.7453042943452,21.2510301975245,17.1684374277787,1.475,1.417,40.2582213246707,37.4474194223146,21.5950540637785,11.7283268035719
"106",29.8568301100073,30.1496756987467,20.5098497995631,18.8703516401306,11.85,1.043,30.6686392595961,36.9859455882441,12.877762624634,11.3524057804085
"107",18.9017895353967,23.0466757172673,25.7970822295005,7.57462618246816,11.28,6.841,41.6412335040042,42.4197862898968,18.5661119568163,27.5297513079015
"108",19.8037677686135,19.0768632467305,21.7715617740437,1.44625880739376,12.53,1.042,32.9081075466566,38.3973607270404,15.111694307969,20.305460196833
"109",22.2618477156799,15.9799557822572,29.5578631377799,33.8916435372848,8.57,6.175,42.0628626367631,36.8902756832807,21.9064560491843,17.8465188446549
"110",19.8007240601858,24.223884348888,17.0709417107941,25.0416272228843,15.7,12.54,46.9688735641856,37.6409867570179,31.1543310408196,14.7125922171408
"111",14.8177816366805,12.3985831148231,17.4189984192499,20.6318708100207,5.147,4.505,40.5898982069144,36.2447420185818,19.2431806066766,11.6715481227175
